University,Overall_Score,Overall_Rank,Teaching_Score,Teaching_Rank,Research_Score,Research_Rank,Citations_Score,Citations_Rank,Industry_Income_Score,Industry_Income_Rank,International_Outlook_Score,International_Outlook_Rank,Number_of_Students
Izmir Institute of Technology,22.8–28.2,13160,20.2,1357,15.1,1113,27.8,1497,56.7,704,35.5,1297,master_account
Jeju National University,22.8–28.2,13170,27.4,850,19.2,856,35.0,1326,38.2,1017,31.2,1453,master_account
Jiangsu Normal University,22.8–28.2,13180,16.3,1677,12.9,1310,47.1,1076,23.9,1370,27.4,1602,master_account
The Jikei University School of Medicine,22.8–28.2,13190,30.1,680,10.8,1549,40.5,1213,42.6,927,19.7,1877,master_account
The John Paul II Catholic University of Lublin,22.8–28.2,13200,27.7,823,14.3,1177,35.1,1322,18.6,1620,34.0,1355,master_account
Kagawa University,22.8–28.2,13210,25.7,957,12.9,1311,27.4,1508,54.1,735,31.9,1429,master_account
Kagoshima University,22.8–28.2,13220,25.7,958,13.5,1252,24.0,1584,55.2,721,27.7,1590,master_account
Kangwon National University,22.8–28.2,13230,22.0,1227,21.9,735,32.4,1391,47.4,855,24.1,1735,master_account
Karabük University,22.8–28.2,13240,12.6,1858,9.4,1733,57.2,843,16.1,1850,48.2,861,master_account
Karunya Institute of Technology and Sciences,22.8–28.2,13250,18.7,1485,13.4,1266,48.4,1046,18.6,1621,23.2,1770,master_account
Kaunas University of Technology,22.8–28.2,13260,22.2,1210,15.3,1094,39.0,1242,36.9,1050,39.2,1143,master_account
Kharazmi University,22.8–28.2,13270,32.7,560,13.8,1227,37.2,1273,25.0,1337,29.5,1518,master_account
Kharkiv Aviation Institute,22.8–28.2,13280,20.6,1329,9.2,1761,44.5,1133,16.4,1816,32.6,1398,master_account
Khon Kaen University,22.8–28.2,13290,23.3,1130,15.7,1071,35.5,1311,36.1,1071,35.4,1303,master_account
Khulna University,22.8–28.2,13300,17.0,1624,9.5,1711,46.9,1078,17.1,1745,43.7,996,master_account
King Mongkut's University of Technology North Bangkok,22.8–28.2,13310,16.2,1684,12.7,1336,50.9,997,25.9,1304,28.7,1551,master_account
Kitasato University,22.8–28.2,13320,27.0,876,11.5,1465,28.8,1475,56.5,710,20.0,1868,master_account
KL University,22.8–28.2,13330,22.4,1194,11.1,1511,52.0,962,16.6,1797,21.5,1821,master_account
Kyoto Institute of Technology,22.8–28.2,13340,27.2,863,17.1,962,15.2,1762,73.3,361,33.7,1363,master_account
Kyushu Institute of Technology (Kyutech),22.8–28.2,13350,26.3,919,15.6,1074,31.4,1412,60.3,639,40.8,1088,master_account
University of Lethbridge,22.8–28.2,13360,20.3,1348,14.1,1195,31.2,1418,34.6,1099,61.4,551,master_account
Lodz University of Technology,22.8–28.2,13370,21.2,1287,15.7,1072,34.4,1340,66.9,504,29.8,1501,master_account
Universidad Loyola,22.8–28.2,13380,23.2,1135,13.0,1303,39.2,1233,17.3,1724,48.8,836,master_account
"""""Lumière University"," Lyon 2""""",22.8–28.2,13390,24.6,1037,18.6,886,24.9,1565,32.8,1130,67.5,438
Universidade Lusófona,22.8–28.2,13400,23.2,1136,8.6,1845,35.7,1309,17.8,1680,59.7,591,master_account
Universiti Malaysia Perlis,22.8–28.2,13410,21.6,1258,12.5,1359,46.0,1097,26.0,1300,33.3,1379,master_account
Manipal University Jaipur,22.8–28.2,13420,19.5,1421,14.2,1190,51.9,968,23.9,1371,24.0,1743,master_account
University of Manouba,22.8–28.2,13430,21.8,1246,9.2,1762,44.2,1141,19.4,1566,45.8,938,master_account
University of Maribor,22.8–28.2,13440,20.1,1367,16.9,977,40.8,1207,36.5,1060,38.9,1154,master_account
University of Marrakech Cadi Ayyad,22.8–28.2,13450,20.5,1337,11.5,1466,36.5,1291,21.6,1458,40.2,1111,master_account
University of Mauritius,22.8–28.2,13460,17.6,1588,13.4,1268,45.3,1111,40.3,975,35.4,1304,master_account
Medical University of Lublin,22.8–28.2,13470,30.5,667,12.3,1381,30.5,1427,36.1,1073,36.8,1252,master_account
Medical University of Silesia in Katowice,22.8–28.2,13480,28.1,804,12.4,1368,31.1,1420,29.0,1200,24.7,1716,master_account
Medical University of Sofia,22.8–28.2,13490,30.8,649,13.5,1253,27.9,1492,48.8,826,53.9,695,master_account
University of Medicine and Pharmacy of Craiova,22.8–28.2,13500,24.3,1056,9.9,1654,37.2,1274,19.2,1574,40.5,1101,master_account
Mendel University in Brno,22.8–28.2,13510,20.9,1308,19.4,844,36.8,1282,21.0,1479,55.1,671,master_account
Metropolitan Autonomous University,22.8–28.2,13520,19.9,1382,23.9,658,22.8,1618,28.6,1216,29.2,1531,master_account
Mie University,22.8–28.2,13530,26.9,880,13.9,1212,23.9,1585,61.8,617,24.8,1713,master_account
Mohammed V University of Rabat,22.8–28.2,13540,29.1,740,15.0,1122,32.2,1397,37.3,1034,32.1,1422,master_account
University of Monastir,22.8–28.2,13550,25.7,959,10.1,1634,36.2,1297,28.1,1233,46.0,930,master_account
Morgan State University,22.8–28.2,13560,22.8,1167,12.6,1350,29.2,1462,28.7,1212,56.3,657,public
Moscow Aviation Institute,22.8–28.2,13570,32.9,548,14.4,1167,26.4,1527,48.6,832,31.9,1430,master_account
Moscow Power Engineering Institute,22.8–28.2,13580,23.6,1105,18.3,904,20.4,1670,51.4,785,39.9,1120,master_account
Multimedia University,22.8–28.2,13590,19.5,1423,13.0,1305,29.0,1471,62.2,610,41.2,1075,master_account
Mutah University,22.8–28.2,13600,29.7,705,11.5,1467,27.6,1503,20.9,1486,61.2,557,master_account
Nagaoka University of Technology,22.8–28.2,13610,34.3,483,16.4,1017,19.9,1679,62.1,612,43.2,1010,master_account
Nagasaki University,22.8–28.2,13620,29.4,727,14.8,1138,28.5,1483,48.4,833,40.3,1106,master_account
Nagoya Institute of Technology,22.8–28.2,13630,21.5,1269,20.3,797,23.0,1612,73.2,365,31.4,1448,master_account
University of Nairobi,22.8–28.2,13640,12.0,1877,10.6,1577,45.9,1099,18.8,1604,49.8,805,master_account
University of Namibia,22.8–28.2,13650,13.1,1839,8.6,1846,51.3,986,15.8,1886,62.8,523,master_account
National Changhua University of Education,22.8–28.2,13660,22.2,1213,17.8,929,20.6,1667,74.5,344,28.8,1549,master_account
National Chin-Yi University of Technology,22.8–28.2,13670,13.9,1808,25.1,607,27.4,1509,42.1,935,28.7,1553,master_account
National Chung Cheng University,22.8–28.2,13680,23.5,1112,22.2,720,25.0,1562,72.9,371,26.5,1639,master_account
National University of Colombia,22.8–28.2,13690,19.7,1402,13.6,1242,37.1,1275,36.9,1051,41.1,1078,master_account
National University of Distance Education (UNED),22.8–28.2,13700,24.9,1010,18.9,871,37.8,1261,35.8,1079,31.0,1466,master_account
National Dong Hwa University,22.8–28.2,13710,19.1,1459,23.8,664,26.3,1534,33.5,1122,48.6,848,master_account
National Institute of Technology Srinagar,22.8–28.2,13720,23.1,1144,10.7,1561,45.7,1104,16.7,1786,19.8,1873,master_account
National Kaohsiung University of Science and Technology,22.8–28.2,13730,15.2,1745,20.3,798,35.0,1327,61.6,621,26.8,1625,master_account
National Research University of Electronic Technology (MIET),22.8–28.2,13740,43.8,227,14.9,1134,10.7,1845,50.2,805,25.5,1683,master_account
National Taiwan Ocean University,22.8–28.2,13750,19.7,1403,25.0,612,30.2,1438,63.0,591,34.7,1331,master_account
National Technical University Kharkiv Polytechnic Institute,22.8–28.2,13760,24.8,1019,9.0,1797,14.9,1768,17.5,1701,33.6,1367,master_account
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,22.8–28.2,13770,26.5,911,9.9,1657,16.0,1745,22.2,1434,22.4,1789,master_account
University of Nigeria Nsukka,22.8–28.2,13780,29.1,741,10.6,1578,30.3,1435,17.3,1725,37.0,1238,master_account
Ochanomizu University,22.8–28.2,13790,33.2,539,16.5,1010,19.7,1684,36.5,1062,38.2,1183,master_account
Oles Honchar Dnipro National University,22.8–28.2,13800,25.1,995,9.0,1800,7.4,1888,18.9,1599,21.5,1822,master_account
Opole University of Technology,22.8–28.2,13810,18.5,1507,13.8,1228,37.3,1269,18.5,1624,36.1,1273,master_account
University of Oradea,22.8–28.2,13820,16.7,1653,14.6,1155,35.0,1328,16.9,1765,41.0,1081,master_account
Osaka Metropolitan University,22.8–28.2,13830,29.1,742,18.7,884,29.8,1449,79.5,271,26.6,1633,master_account
Osmania University,22.8–28.2,13840,33.9,496,16.3,1025,31.1,1421,27.7,1244,21.4,1828,master_account
Paris Nanterre University,22.8–28.2,13850,20.9,1309,16.8,985,27.9,1493,42.9,925,66.7,452,master_account
University of Pau and Pays de l’Adour,22.8–28.2,13860,23.4,1125,12.4,1370,21.6,1645,28.5,1222,79.9,256,master_account
Pavol Jozef Šafárik University in Košice,22.8–28.2,13870,40.7,287,10.2,1626,17.1,1729,24.9,1340,62.1,539,master_account
Persian Gulf University,22.8–28.2,13880,17.8,1569,14.1,1200,45.5,1109,28.8,1210,38.2,1184,master_account
University of the Philippines,22.8–28.2,13890,25.4,977,15.3,1098,38.7,1246,22.8,1409,38.4,1174,master_account
Pirogov Russian National Research Medical University,22.8–28.2,13900,44.2,214,13.3,1279,14.5,1777,28.1,1234,22.6,1785,master_account
Polytechnic Institute of Porto,22.8–28.2,13910,15.0,1752,11.9,1416,49.6,1026,22.1,1435,31.8,1433,master_account
Pontifical Catholic University of Peru,22.8–28.2,13920,24.8,1020,9.8,1676,29.7,1454,16.9,1766,45.6,942,master_account
Pontifical Catholic University of Valparaíso,22.8–28.2,13930,15.8,1711,17.1,964,32.8,1379,38.1,1018,51.1,768,master_account
Pontifical Javeriana University,22.8–28.2,13940,20.7,1323,11.5,1469,37.4,1268,21.0,1480,45.3,953,master_account
Pontifícia Universidade Católica do Paraná,22.8–28.2,13950,26.3,924,12.8,1327,34.3,1342,43.0,922,30.7,1473,master_account
Port Said University,22.8–28.2,13960,13.7,1816,8.5,1853,53.7,927,16.8,1775,46.6,911,master_account
Poznań University of Life Sciences,22.8–28.2,13970,25.1,997,11.3,1491,45.2,1114,27.4,1251,25.9,1666,master_account
Poznan University of Technology,22.8–28.2,13980,22.6,1181,13.0,1307,35.9,1303,41.8,942,26.9,1619,master_account
Prince of Songkla University,22.8–28.2,13990,23.4,1126,14.8,1139,32.6,1388,43.5,914,37.7,1210,master_account
University of Puerto Rico,22.8–28.2,14000,25.0,1005,11.4,1480,40.8,1208,37.6,1026,44.4,978,master_account
Pukyong National University,22.8–28.2,14010,26.7,894,13.9,1213,28.5,1484,39.0,1007,36.4,1264,master_account
University of Qom,22.8–28.2,14020,22.2,1215,12.1,1402,35.1,1323,17.3,1726,48.6,849,master_account
University Rey Juan Carlos,22.8–28.2,14030,15.8,1712,13.4,1272,51.2,992,31.3,1155,39.9,1121,master_account
Rikkyo University,22.8–28.2,14040,18.6,1496,9.3,1751,34.0,1350,19.7,1550,58.4,617,master_account
Ritsumeikan University,22.8–28.2,14050,19.8,1393,13.9,1214,27.4,1510,30.3,1175,46.8,898,master_account
Université Saint-Joseph de Beyrouth,22.8–28.2,14060,32.6,567,10.9,1540,24.2,1580,27.0,1259,69.7,412,master_account
Saitama Medical University,22.8–28.2,14070,26.5,912,10.3,1617,39.3,1229,41.5,948,18.3,1895,master_account
Sakarya University,22.8–28.2,14080,16.5,1662,10.6,1581,45.4,1110,24.0,1368,28.4,1566,master_account
Samara National Research University (Samara University),22.8–28.2,14090,27.5,846,14.8,1140,21.8,1641,26.6,1279,37.1,1236,master_account
Sapporo Medical University,22.8–28.2,14100,29.7,711,12.9,1314,33.1,1372,58.3,673,17.6,1901,master_account
SASTRA University,22.8–28.2,14110,22.4,1196,11.3,1492,45.0,1120,30.3,1176,29.4,1523,master_account
Sathyabama Institute of Science and Technology,22.8–28.2,14120,31.2,634,9.9,1659,35.1,1324,16.9,1767,29.7,1506,master_account
Universitas Sebelas Maret,22.8–28.2,14130,19.3,1444,19.3,851,33.9,1354,48.3,834,33.3,1381,master_account
Selçuk University,22.8–28.2,14140,22.4,1197,14.4,1169,36.7,1285,58.2,675,34.1,1354,master_account
Semnan University of Medical Sciences and Health Services,22.8–28.2,14150,25.4,979,10.5,1591,46.2,1090,16.2,1840,29.1,1535,master_account
Seoul National University of Science and Technology (SeoulTech),22.8–28.2,14160,28.0,806,20.1,808,32.7,1383,39.8,983,30.6,1475,master_account
University of La Serena,22.8–28.2,14170,12.3,1869,9.9,1660,49.2,1036,16.4,1820,50.4,794,master_account
Shahid Bahonar University of Kerman,22.8–28.2,14180,19.4,1435,13.7,1232,41.8,1186,26.9,1263,26.3,1654,master_account
Shahid Sadoughi University of Medical Sciences,22.8–28.2,14190,39.1,336,10.6,1583,20.8,1661,17.5,1704,20.6,1847,master_account
Shahjalal University of Science and Technology,22.8–28.2,14200,13.2,1836,8.4,1859,43.4,1156,16.6,1800,44.8,964,master_account
University of Shanghai for Science and Technology,22.8–28.2,14210,23.1,1148,11.5,1470,40.4,1216,36.7,1055,26.6,1634,master_account
Shibaura Institute of Technology,22.8–28.2,14220,20.8,1316,20.1,809,22.3,1628,36.3,1066,42.3,1042,master_account
Shiga University of Medical Science,22.8–28.2,14230,31.5,617,12.8,1330,32.3,1395,62.7,600,24.5,1723,master_account
Showa University,22.8–28.2,14240,32.8,553,10.3,1618,35.5,1312,40.2,977,19.8,1875,master_account
Silesian University of Technology,22.8–28.2,14250,21.8,1248,15.6,1079,39.4,1227,31.5,1149,26.6,1635,master_account
Université de Skikda,22.8–28.2,14260,12.5,1861,7.6,1894,51.3,987,15.8,1889,40.6,1099,master_account
Slovak University of Agriculture in Nitra,22.8–28.2,14270,23.6,1107,12.2,1392,27.4,1511,18.9,1600,48.5,853,master_account
Sohag University,22.8–28.2,14280,12.5,1862,9.0,1802,53.5,933,18.3,1646,48.8,838,master_account
Soonchunhyang University,22.8–28.2,14290,19.8,1394,25.4,592,33.0,1376,48.2,835,35.0,1320,master_account
Soongsil University,22.8–28.2,14300,26.7,895,15.0,1125,25.1,1560,47.4,857,35.6,1291,master_account
Université Sorbonne Nouvelle,22.8–28.2,14310,25.7,961,15.3,1099,20.8,1662,15.6,1903,70.0,408,master_account
University of Sousse,22.8–28.2,14320,30.3,676,10.3,1619,31.4,1414,19.3,1570,40.1,1114,master_account
University of South China,22.8–28.2,14330,26.8,886,13.9,1216,27.7,1500,30.6,1168,22.3,1798,master_account
Southern Federal University,22.8–28.2,14340,27.9,810,14.3,1181,21.4,1649,32.1,1141,40.3,1108,master_account
South Valley University,22.8–28.2,14350,16.0,1699,9.2,1768,53.3,939,17.7,1690,48.9,832,master_account
Southwest Petroleum University,22.8–28.2,14360,17.9,1557,15.1,1116,38.3,1254,53.1,750,21.8,1815,master_account
University of Split,22.8–28.2,14370,17.9,1558,13.9,1217,49.1,1038,23.1,1398,36.0,1279,master_account
Sri Venkateswara University,22.8–28.2,14380,36.8,397,11.3,1494,23.6,1593,20.9,1487,31.5,1445,master_account
SRM Institute of Science and Technology,22.8–28.2,14390,21.6,1260,11.5,1471,51.6,976,21.9,1445,26.8,1626,master_account
Ştefan cel Mare University of Suceava,22.8–28.2,14400,15.6,1727,13.0,1309,49.3,1032,16.8,1777,36.9,1248,master_account
St Marianna University School of Medicine,22.8–28.2,14410,27.6,838,9.9,1661,44.4,1138,37.3,1037,20.1,1866,master_account
St Petersburg Electrotechnical University (LETI),22.8–28.2,14420,22.6,1184,16.4,1021,22.8,1619,37.6,1027,41.7,1063,master_account
Universiti Sultan Zainal Abidin,22.8–28.2,14430,24.1,1075,11.3,1496,38.6,1248,16.5,1811,47.0,891,master_account
University of Sunderland,22.8–28.2,14440,18.2,1537,9.9,1662,40.2,1219,42.1,936,71.6,382,master_account
Suranaree University of Technology,22.8–28.2,14450,21.9,1243,20.9,777,27.7,1501,54.9,725,37.9,1202,master_account
Universitas Syiah Kuala,22.8–28.2,14460,14.0,1804,9.4,1740,51.5,981,19.5,1563,25.8,1671,master_account
University of Talca,22.8–28.2,14470,17.4,1602,13.7,1233,31.5,1410,36.7,1056,52.3,733,master_account
Tamkang University,22.8–28.2,14480,15.3,1740,12.7,1338,34.1,1347,43.6,912,42.9,1022,master_account
University of Tarapacá,22.8–28.2,14490,12.4,1866,19.0,864,45.1,1116,19.4,1569,59.0,604,master_account
Taras Shevchenko National University of Kyiv,22.8–28.2,14500,30.0,689,13.1,1293,20.2,1672,31.4,1154,31.8,1434,master_account
Technical University of Cluj-Napoca,22.8–28.2,14510,17.0,1627,13.2,1288,39.3,1230,29.5,1194,25.0,1709,master_account
Technical University of Crete,22.8–28.2,14520,13.1,1841,11.1,1517,50.4,1014,40.6,967,40.7,1094,master_account
Technical University of Košice,22.8–28.2,14530,26.5,913,17.1,967,30.2,1439,30.0,1184,44.8,965,master_account
University of Technology of Compiègne,22.8–28.2,14540,26.7,897,10.9,1541,24.3,1578,48.8,827,83.8,202,master_account
Universiti Teknikal Malaysia Melaka,22.8–28.2,14550,20.1,1369,11.4,1482,32.6,1389,19.6,1555,44.2,984,master_account
Institut Teknologi Sepuluh Nopember,22.8–28.2,14560,25.3,983,10.8,1554,25.4,1553,35.4,1085,42.5,1032,master_account
University of Texas Rio Grande Valley,22.8–28.2,14570,17.9,1560,8.5,1854,45.1,1117,17.4,1718,46.1,928,master_account
Tezpur University,22.8–28.2,14580,31.3,627,15.3,1100,27.9,1494,33.8,1115,18.4,1893,master_account
Thammasat University,22.8–28.2,14590,26.3,926,19.1,860,25.7,1548,30.1,1179,38.1,1190,master_account
Thiagarajar College of Engineering,22.8–28.2,14600,18.7,1487,8.9,1816,41.9,1183,20.2,1520,18.0,1897,master_account
Toho University,22.8–28.2,14610,24.7,1034,15.0,1126,33.7,1358,57.3,699,21.5,1824,master_account
Tokai University,22.8–28.2,14620,18.3,1533,12.0,1411,36.5,1292,46.0,880,30.4,1486,master_account
Tokushima University,22.8–28.2,14630,29.2,737,24.0,653,24.4,1575,81.6,243,26.4,1649,master_account
Tokyo University of Marine Science and Technology,22.8–28.2,14640,31.3,628,15.2,1108,19.7,1686,43.1,921,44.4,979,master_account
Tokyo University of Science,22.8–28.2,14650,24.0,1081,26.1,568,26.4,1529,74.0,348,29.1,1537,master_account
Tomas Bata University in Zlín,22.8–28.2,14660,18.1,1546,21.0,771,31.8,1404,26.1,1298,51.3,763,master_account
University of Toyama,22.8–28.2,14670,27.0,877,14.6,1158,29.2,1463,61.9,615,33.1,1386,master_account
Transilvania University of Brașov,22.8–28.2,14680,15.4,1735,11.5,1473,49.8,1025,18.7,1613,36.9,1249,master_account
Tribhuvan University,22.8–28.2,14690,11.3,1892,8.2,1869,49.5,1028,15.9,1880,46.7,906,master_account
Tunghai University,22.8–28.2,14700,16.5,1664,14.4,1171,37.8,1262,49.4,821,46.6,913,master_account
University of Tunis,22.8–28.2,14710,30.9,645,10.3,1620,23.5,1596,16.6,1801,39.2,1144,master_account
Tzu Chi University,22.8–28.2,14720,25.3,984,26.0,573,18.3,1709,65.6,535,27.1,1612,master_account
UNIR – International University of La Rioja,22.8–28.2,14730,11.9,1879,13.9,1218,38.0,1258,15.6,1904,58.6,612,master_account
Unisinos University,22.8–28.2,14740,30.1,682,15.4,1089,22.3,1631,25.2,1333,29.3,1528,master_account
Universiti Tun Hussein Onn Malaysia (UTHM),22.8–28.2,14750,22.0,1229,13.5,1259,37.0,1278,18.5,1629,42.1,1048,master_account
University of Valladolid,22.8–28.2,14760,25.1,1000,14.4,1173,37.9,1260,43.8,910,38.1,1192,master_account
Veltech University,22.8–28.2,14770,17.9,1562,9.1,1790,44.4,1139,16.0,1868,27.7,1595,master_account
University of Venda,22.8–28.2,14780,20.3,1352,29.2,492,19.9,1680,16.8,1778,49.0,829,master_account
"""""Vietnam National University"," Hanoi""""",22.8–28.2,14790,20.9,1311,11.2,1505,46.8,1080,19.1,1584,48.9,834
Vilnius Gediminas Technical University (Vilnius Tech),22.8–28.2,14800,22.0,1231,16.3,1029,36.0,1302,57.8,688,47.2,886,master_account
"""""Visvesvaraya National Institute of Technology"," Nagpur""""",22.8–28.2,14810,24.5,1046,13.4,1275,41.8,1187,40.4,974,20.1,1867
V.N. Karazin Kharkiv National University,22.8–28.2,14820,26.4,917,10.9,1542,8.8,1871,46.6,873,47.2,887,master_account
Volgograd State University,22.8–28.2,14830,24.0,1082,12.9,1316,34.5,1336,15.8,1892,27.9,1582,master_account
VSB - Technical University of Ostrava,22.8–28.2,14840,26.8,887,19.7,829,27.8,1499,31.0,1157,46.9,893,master_account
Vytautas Magnus University,22.8–28.2,14850,22.4,1198,12.3,1383,27.4,1512,20.9,1490,61.9,543,master_account
Walailak University,22.8–28.2,14860,20.9,1312,13.3,1281,35.5,1313,16.3,1832,40.7,1095,master_account
Warsaw University of Life Sciences – SGGW,22.8–28.2,14870,19.9,1384,11.8,1432,41.6,1193,23.4,1385,34.2,1347,master_account
Warsaw University of Technology,22.8–28.2,14880,22.0,1232,19.6,835,33.3,1370,53.5,744,31.7,1440,master_account
University of West Bohemia,22.8–28.2,14890,20.5,1340,18.0,920,35.2,1320,27.7,1247,32.4,1410,master_account
University of Western Macedonia,22.8–28.2,14900,11.6,1887,17.1,969,39.3,1231,26.2,1292,27.9,1584,master_account
West University of Timişoara,22.8–28.2,14910,24.3,1061,13.7,1234,40.2,1220,17.4,1720,34.9,1326,master_account
Wrocław University of Environmental and Life Sciences,22.8–28.2,14920,19.1,1465,13.9,1219,34.3,1343,49.8,811,29.6,1515,master_account
Wrocław University of Science and Technology,22.8–28.2,14930,19.7,1407,17.4,946,33.1,1373,54.6,734,29.7,1510,master_account
Wuhan Textile University,22.8–28.2,14940,15.0,1755,11.0,1532,46.2,1091,36.7,1057,23.5,1759,master_account
Xiangtan University,22.8–28.2,14950,17.0,1628,15.9,1057,49.0,1040,33.7,1118,21.8,1817,master_account
Xuzhou Medical University,22.8–28.2,14960,15.8,1715,16.3,1031,43.5,1154,26.0,1302,21.4,1831,master_account
Yamagata University,22.8–28.2,14970,28.0,807,15.3,1101,24.8,1567,72.2,382,32.3,1416,master_account
Yamaguchi University,22.8–28.2,14980,28.5,778,13.4,1276,21.4,1650,57.3,700,33.4,1378,master_account
University of Yamanashi,22.8–28.2,14990,27.8,821,13.1,1297,25.9,1544,45.4,890,29.0,1541,master_account
Yarmouk University,22.8–28.2,15000,19.9,1385,12.9,1317,41.5,1194,20.8,1496,53.1,709,master_account
Yasouj University,22.8–28.2,15010,14.7,1771,14.5,1162,52.3,957,20.1,1526,22.4,1793,master_account
Yokohama National University,22.8–28.2,15020,26.0,940,22.5,713,19.1,1702,71.2,403,36.1,1275,master_account
Yuan Ze University,22.8–28.2,15030,18.5,1511,24.1,649,32.1,1398,69.0,455,42.8,1026,master_account
Yuriy Fedkovych Chernivtsi National University,22.8–28.2,15040,22.8,1168,9.9,1664,8.2,1878,17.6,1696,26.3,1655,master_account
University of Zambia,22.8–28.2,15050,13.2,1837,9.8,1679,45.8,1103,19.9,1539,54.9,679,master_account
University of Zanjan,22.8–28.2,15060,17.1,1620,12.3,1384,42.6,1176,21.5,1463,27.3,1605,master_account
Zanjan University of Medical Sciences,22.8–28.2,15070,36.4,418,12.6,1354,35.5,1314,24.2,1361,21.5,1825,master_account
Zhejiang Chinese Medical University,22.8–28.2,15080,16.5,1665,16.4,1023,34.5,1338,37.2,1041,23.0,1777,master_account
University of Zimbabwe,22.8–28.2,15090,12.9,1853,12.7,1342,37.3,1270,20.9,1492,50.8,779,master_account
Université 8 Mai 1945 Guelma,9.7–22.7,15100,14.7,1769,8.6,1837,25.4,1551,15.9,1870,37.0,1237,master_account
University Abdelhamid Ibn Badis Mostaganem,9.7–22.7,15110,17.7,1576,7.8,1886,8.1,1879,15.7,1893,33.5,1371,master_account
Abdelmalek Essaâdi University,9.7–22.7,15120,21.6,1255,9.7,1680,30.1,1440,17.2,1730,29.4,1521,master_account
University of Abou Bekr Belkaïd Tlemcen,9.7–22.7,15130,22.7,1169,9.0,1791,11.6,1829,19.6,1552,35.3,1306,master_account
Acıbadem University,9.7–22.7,15140,25.8,948,12.0,1404,22.7,1620,24.2,1357,30.3,1487,master_account
Adelphi University,9.7–22.7,15150,24.1,1071,7.7,1890,26.1,1538,16.4,1812,33.0,1387,private
Afe Babalola University,9.7–22.7,15160,23.4,1116,11.6,1449,17.2,1723,24.6,1346,43.6,999,master_account
Akita University,9.7–22.7,15170,25.6,963,13.4,1261,20.8,1659,39.1,1003,26.7,1628,master_account
Aksaray University,9.7–22.7,15180,11.6,1883,8.8,1818,23.5,1594,26.8,1265,28.0,1574,master_account
Alexandru Ioan Cuza University,9.7–22.7,15190,16.5,1658,12.1,1395,31.6,1407,18.3,1640,40.2,1109,master_account
Altai State University,9.7–22.7,15200,20.5,1334,16.5,1003,15.2,1761,25.2,1330,64.4,496,master_account
Alzahra University,9.7–22.7,15210,25.4,973,15.3,1091,24.6,1569,19.6,1553,31.0,1463,master_account
University of Anbar,9.7–22.7,15220,17.7,1577,9.1,1772,39.1,1236,16.9,1756,29.3,1524,master_account
Universitas Andalas,9.7–22.7,15230,24.7,1023,12.7,1332,16.5,1737,36.1,1069,33.2,1382,master_account
"""""University of the Andes"," Venezuela""""",9.7–22.7,15240,21.9,1235,8.6,1838,8.8,1870,27.7,1241,50.2,796
Andhra University,9.7–22.7,15250,38.2,356,10.4,1596,18.7,1706,26.1,1293,24.1,1733,master_account
Universidad Andrés Bello (UNAB),9.7–22.7,15260,15.1,1747,10.4,1597,33.5,1365,20.7,1497,50.6,784,master_account
Ankara University,9.7–22.7,15270,18.2,1534,11.6,1450,30.5,1425,36.6,1058,34.4,1340,master_account
Ankara Yildirim Beyazit University,9.7–22.7,15280,19.2,1449,12.6,1344,23.1,1606,17.3,1721,35.4,1301,master_account
Annamalai University,9.7–22.7,15290,35.5,443,9.6,1695,20.0,1674,22.2,1429,20.1,1863,master_account
Antonio Nariño University,9.7–22.7,15300,16.6,1656,7.9,1882,33.1,1371,16.0,1856,51.5,751,master_account
Aoyama Gakuin University,9.7–22.7,15310,20.0,1370,8.9,1807,10.4,1849,22.2,1430,36.2,1265,master_account
Arak University,9.7–22.7,15320,19.5,1416,11.2,1498,32.7,1380,20.1,1523,26.3,1652,master_account
Universidad Autónoma de Ciudad Juárez,9.7–22.7,15330,15.6,1721,8.0,1876,10.2,1852,17.5,1697,37.3,1225,master_account
Universidad Autónoma de Coahuila,9.7–22.7,15340,21.4,1273,8.0,1877,12.8,1800,18.1,1655,34.4,1341,master_account
Universidad Autónoma del Estado de Hidalgo,9.7–22.7,15350,19.2,1450,9.6,1696,11.1,1837,18.1,1656,26.4,1645,master_account
Universidad Autónoma del Estado de Mexico (UAEMex),9.7–22.7,15360,22.2,1206,9.3,1741,7.7,1882,17.4,1706,26.9,1615,master_account
Universidad Autónoma del Estado de Morelos,9.7–22.7,15370,17.1,1614,9.1,1773,9.1,1863,28.8,1207,27.4,1600,master_account
Universidad Autónoma de Nuevo León (UANL),9.7–22.7,15380,13.3,1830,9.1,1774,17.1,1727,19.8,1540,33.4,1373,master_account
Universidad Autónoma de Querétaro,9.7–22.7,15390,19.1,1457,10.5,1584,19.1,1699,23.7,1376,30.0,1494,master_account
Universidad Autónoma de Yucatán,9.7–22.7,15400,14.9,1756,10.0,1637,14.6,1772,24.1,1362,33.6,1365,master_account
Autonomous University of Baja California,9.7–22.7,15410,13.0,1842,9.0,1792,12.6,1806,17.0,1750,35.7,1286,master_account
Badji Mokhtar University – Annaba,9.7–22.7,15420,34.1,487,16.2,1032,12.5,1808,16.9,1757,35.0,1315,master_account
University of Baghdad,9.7–22.7,15430,25.1,990,12.6,1345,19.8,1681,28.5,1218,20.2,1860,master_account
Baku State University,9.7–22.7,15440,20.1,1363,8.6,1839,13.8,1786,19.7,1545,35.5,1293,master_account
